"CountryCode","year","population","region"
"NIC",1962,1886562,"Americas"
"NLD",1962,11805689,"Europe"
"NOR",1962,3638918,"Europe"
"NPL",1962,10384204,"Asia"
"NRU",1962,4947,"Oceania"
"NZL",1962,2482000,"Oceania"
"OMN",1962,578824,"Asia"
"PAK",1962,47119361,"Asia"
"PAN",1962,1202373,"Americas"
"PER",1962,10650667,"Americas"
"PHL",1962,28081231,"Asia"
"PLW",1962,10151,"Oceania"
"PNG",1962,2094687,"Oceania"
"POL",1962,30308500,"Europe"
"PRI",1962,2450322,"Americas"
"PRK",1962,11871712,"Asia"
"PRT",1962,8993985,"Europe"
"PRY",1962,2005337,"Americas"
"PSE",1962,NA,"Asia"
"PYF",1962,83651,"Oceania"
"QAT",1962,56263,"Asia"
"ROU",1962,18676550,"Europe"
"RUS",1962,122591000,"Europe"
"RWA",1962,3050604,"Africa"
"SAU",1962,4362864,"Asia"
"SDN",1962,8004121,"Africa"
"SEN",1962,3386863,"Africa"
"SGP",1962,1750200,"Asia"
"SLB",1962,125064,"Oceania"
"SLE",1962,2363013,"Africa"
"SLV",1962,2927857,"Americas"
"SMR",1962,16199,"Europe"
"SOM",1962,2874190,"Africa"
"SRB",1962,NA,"Europe"
"SSD",1962,3069913,"Africa"
"STP",1962,64432,"Africa"
"SUR",1962,306328,"Americas"
"SVK",1962,4238188,"Europe"
"SVN",1962,1603649,"Europe"
"SWE",1962,7561588,"Europe"
"SWZ",1962,365636,"Africa"
"SXM",1962,NA,"Americas"
"SYC",1962,44042,"Africa"
"SYR",1962,4875422,"Asia"
"TCA",1962,5763,"Americas"
"TCD",1962,3121216,"Africa"
"TGO",1962,1612755,"Africa"
"THA",1962,29081034,"Asia"
"TJK",1962,2236559,"Asia"
"TKM",1962,1715408,"Asia"
"TLS",1962,518107,"Asia"
"TON",1962,66259,"Oceania"
"TTO",1962,880023,"Americas"
"TUN",1962,4303131,"Africa"
"TUR",1962,28832805,"Asia"
"TUV",1962,6389,"Oceania"
"TZA",1962,10683906,"Africa"
"UGA",1962,7240174,"Africa"
"UKR",1962,43749470,"Europe"
"URY",1962,2603887,"Americas"
"USA",1962,186538000,"Americas"
"UZB",1962,9138097,"Asia"
"VCT",1962,83206,"Americas"
"VEN",1962,8790589,"Americas"
"VGB",1962,8298,"Americas"
"VIR",1962,36300,"Americas"
"VNM",1962,36123000,"Asia"
"VUT",1962,67808,"Oceania"
"WSM",1962,115788,"Oceania"
"YEM",1962,5351799,"Asia"
"ZAF",1962,18322335,"Africa"
"ZMB",1962,3240587,"Africa"
"ZWE",1962,3999419,"Africa"
"ABW",1963,56695,"Americas"
"AFG",1963,9533954,"Asia"
"AGO",1963,5980417,"Africa"
"ALB",1963,1762621,"Europe"
"AND",1963,16412,"Europe"
"ARE",1963,125566,"Asia"
"ARG",1963,21621840,"Americas"
"ARM",1963,2077575,"Asia"
"ASM",1963,21882,"Oceania"
"ATG",1963,58294,"Americas"
